Jahr;Marktanteile in %;Plattenfirmen
2011;11,7;Sony Music
2011;22,2;Universal
2011;14,1;Warner
2011;;Kobalt
2011;;BMG
2011;19,3;EMI 
2011;32,6;Sonstige
2012;21,7;Sony Music
2012;22,5;Universal
2012;13,6;Warner
2012;;Kobalt
2012;;BMG
2012;9,5;EMI 
2012;32,7;Sonstige
2013;29,4;Sony Music
2013;22,6;Universal
2013;13,2;Warner
2013;;Kobalt
2013;;BMG
2013;;EMI 
2013;34,8;Sonstige
2014;29,5;Sony Music
2014;23;Universal
2014;12,5;Warner
2014;;Kobalt
2014;;BMG
2014;;EMI 
2014;35;Sonstige
2015;28,3;Sony Music
2015;20;Universal
2015;11,4;Warner
2015;;Kobalt
2015;;BMG
2015;;EMI 
2015;40,3;Sonstige
2016;27;Sony Music
2016;19,8;Universal
2016;12;Warner
2016;;Kobalt
2016;;BMG
2016;;EMI 
2016;41,2;Sonstige
2017;27,3;Sony Music
2017;19,5;Universal
2017;12;Warner
2017;;Kobalt
2017;;BMG
2017;;EMI 
2017;41,2;Sonstige
2018;26;Sony Music
2018;20,2;Universal
2018;12,3;Warner
2018;;Kobalt
2018;;BMG
2018;;EMI 
2018;41,4;Sonstige
2019;25;Sony Music
2019;21;Universal
2019;11,6;Warner
2019;7;Kobalt
2019;6,6;BMG
2019;;EMI 
2019;28,8;Sonstige
2020;24,5;Sony Music
2020;23;Universal
2020;11,2;Warner
2020;7;Kobalt
2020;6,4;BMG
2020;;EMI 
2020;27,9;Sonstige
2021;24,9;Sony Music
2021;23,2;Universal
2021;11,8;Warner
2021;;Kobalt
2021;;BMG
2021;;EMI 
2021;40,1;Sonstige
2022;24,7;Sony Music
2022;23,4;Universal
2022;12;Warner
2022;;Kobalt
2022;;BMG
2022;;EMI 
2022;40;Sonstige
2023;24,9;Sony Music
2023;23,3;Universal
2023;12,4;Warner
2023;;Kobalt
2023;;BMG
2023;;EMI 
2023;39,4;Sonstige
