song_name;artist(s)_name;streams;released_year;contract
Seven (feat. Latto) (Explicit Ver.);Latto, Jung Kook;141381703;2023;Unknown
LALA;Myke Towers;133716286;2023;Unknown
vampire;Olivia Rodrigo;140003974;2023;Geffen Records
Cruel Summer;Taylor Swift;800840817;2019;Universal Music Group
WHERE SHE GOES;Bad Bunny;303236322;2023;Rimas Entertainment
Sprinter;Dave, Central Cee;183706234;2023;Unknown
Ella Baila Sola;Eslabon Armado, Peso Pluma;725980112;2023;Unknown
Columbia;Quevedo;58149378;2023;Unknown
fukumean;Gunna;95217315;2023;Unknown
La Bebe - Remix;Peso Pluma, Yng Lvcas;553634067;2023;Unknown
un x100to;Bad Bunny, Grupo Frontera;505671438;2023;Unknown
Super Shy;NewJeans;58255150;2023;Unknown
Flowers;Miley Cyrus;1316855716;2023;RCA Records
Daylight;David Kushner;387570742;2023;Unknown
As It Was;Harry Styles;2513188493;2022;Columbia Records
Kill Bill;SZA;1163093654;2022;Top Dawg Entertainment
Cupid - Twin Ver.;Fifty Fifty;496795686;2023;Unknown
"What Was I Made For? [From The Motion Picture ""Barbie""]";Billie Eilish;30546883;2023;Interscope Records
Classy 101;Feid, Young Miko;335222234;2023;Unknown
Like Crazy;Jimin;363369738;2023;Unknown
LADY GAGA;Gabito Ballesteros, Junior H, Peso Pluma;86444842;2023;Unknown
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The;Taylor Swift;52135248;2023;Universal Music Group
I Wanna Be Yours;Arctic Monkeys;1297026226;2013;Domino Recording Company
Peso Pluma: Bzrp Music Sessions, Vol. 55;Bizarrap, Peso Pluma;200647221;2023;Unknown
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series);The Weeknd, Madonna, Playboi Carti;115364561;2023;Unknown
SABOR FRESA;Fuerza Regida;78300654;2023;Unknown
Calm Down (with Selena Gomez);Rï¿½ï¿½ma, Selena G;899183384;2022;Unknown
MOJABI GHOST;Tainy, Bad Bunny;61245289;2023;Unknown
Last Night;Morgan Wallen;429829812;2023;Unknown
